"Keyword","SERP Position","Avg. Search Volume (Last 12 months)","Estimated Visits","Location","CPC/USD","PPC","Keyword Difficulty","Keyword interest growth (%)","Content Type","Search Intent","Keyword Opportunities","Serp Features","Search Volume 4/2015","Search Volume 5/2015","Search Volume 6/2015","Search Volume 7/2015","Search Volume 8/2015","Search Volume 9/2015","Search Volume 10/2015","Search Volume 11/2015","Search Volume 12/2015","Search Volume 1/2016","Search Volume 2/2016","Search Volume 3/2016","Search Volume 4/2016","Search Volume 5/2016","Search Volume 6/2016","Search Volume 7/2016","Search Volume 8/2016","Search Volume 9/2016","Search Volume 10/2016","Search Volume 11/2016","Search Volume 12/2016","Search Volume 1/2017","Search Volume 2/2017","Search Volume 3/2017","Search Volume 4/2017","Search Volume 5/2017","Search Volume 6/2017","Search Volume 7/2017","Search Volume 8/2017","Search Volume 9/2017","Search Volume 10/2017","Search Volume 11/2017","Search Volume 12/2017","Search Volume 1/2018","Search Volume 2/2018","Search Volume 3/2018","Search Volume 4/2018","Search Volume 5/2018","Search Volume 6/2018","Search Volume 7/2018","Search Volume 8/2018","Search Volume 9/2018","Search Volume 10/2018","Search Volume 11/2018","Search Volume 12/2018","Search Volume 1/2019","Search Volume 2/2019","Search Volume 3/2019","Search Volume 4/2019","Search Volume 5/2019","Search Volume 6/2019","Search Volume 7/2019","Search Volume 8/2019","Search Volume 9/2019","Search Volume 10/2019","Search Volume 11/2019","Search Volume 12/2019","Search Volume 1/2020","Search Volume 2/2020","Search Volume 3/2020","Search Volume 4/2020","Search Volume 5/2020","Search Volume 6/2020","Search Volume 7/2020","Search Volume 8/2020","Search Volume 9/2020","Search Volume 10/2020","Search Volume 11/2020","Search Volume 12/2020","Search Volume 1/2021","Search Volume 2/2021","Search Volume 3/2021","Search Volume 4/2021","Search Volume 5/2021","Search Volume 6/2021","Search Volume 7/2021","Search Volume 8/2021","Search Volume 9/2021","Search Volume 10/2021","Search Volume 11/2021","Search Volume 12/2021","Search Volume 1/2022","Search Volume 2/2022","Search Volume 3/2022","Search Volume 4/2022","Search Volume 5/2022","Search Volume 6/2022","Search Volume 7/2022","Search Volume 8/2022","Search Volume 9/2022","Search Volume 10/2022","Search Volume 11/2022","Search Volume 12/2022","Search Volume 1/2023","Search Volume 2/2023","Search Volume 3/2023","Search Volume 4/2023","Search Volume 5/2023","Search Volume 6/2023","Search Volume 7/2023","Search Volume 8/2023","Search Volume 9/2023","Search Volume 10/2023","Search Volume 11/2023","Search Volume 12/2023","Search Volume 1/2024","Search Volume 2/2024","Search Volume 3/2024","Search Volume 4/2024","Search Volume 5/2024","Search Volume 6/2024","Search Volume 7/2024","Search Volume 8/2024","Search Volume 9/2024","Search Volume 10/2024","Search Volume 11/2024","Search Volume 12/2024","Search Volume 1/2025","Search Volume 2/2025","Search Volume 3/2025","Search Volume 4/2025","Search Volume 5/2025","Search Volume 6/2025","Search Volume 7/2025","Search Volume 8/2025","Search Volume 9/2025","Search Volume 10/2025","Search Volume 11/2025","Search Volume 12/2025"
"desarrollo web a medida barcelona",1,110,33,"Spain","",1,23,50,"HOMEPAGES","","Missing words in title","","","","","","","","","","","10","40",0,10,0,0,10,0,10,0,0,10,10,0,"0","0","10","10","10","10","10","0","10","10","0","0","10","10","10","10","10","10","10","10","10",0,20,10,0,10,10,10,10,0,10,10,10,10,20,10,0,20,10,10,10,10,0,10,10,0,0,0,10,10,10,10,10,10,20,30,40,20,210,90,50,40,10,10,10,20,20,10,10,10,10,20,10,10,10,40,30,40,30,40,50,30,40,20,10,10,10,10,20,10,20,10,30,20,50,170,170,170,110,40,30,20,390,40,30,20
"desarrollo web en barcelona",1,110,33,"Spain","",,47,33,"","","","","","","","","10","10","10","10","20","10","20",10,10,20,30,10,50,30,10,10,10,10,10,"10","10","10","10","0","0","10","10","10","10","10","10","20","20","10","10","30","10","20","10","10",10,10,10,50,40,20,10,20,10,10,20,10,10,10,10,10,10,30,40,20,10,10,40,90,10,10,10,20,10,10,30,10,30,10,10,10,10,10,10,30,20,30,10,10,10,20,20,10,10,10,10,20,10,40,30,10,20,10,20,30,40,30,30,20,20,50,10,70,30,20,30,30,30,70,210,210,170,50,10,20,40,480,40,40,40
"diseñador pagina web barcelona",1,320,97,"Spain","19.60",12,18,-41,"HOMEPAGES","","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,170,140,170,140,320,590,320,260,210,210,110,140,210,140,140,140,110,210,110,110,90,140,140,110,140,70,90,90,90,170,110,260,140,210,110,140,170,110,110,260,170,260,260,260,210,170,170,210,210,170,210,210,480,590,590,390,390,210,90,1000,170,110,70
"diseñadora web barcelona",1,110,33,"Spain","",10,26,36,"HOMEPAGES","","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,10,20,20,20,20,50,30,40,20,50,50,,,,,,,,,,,,50,40,50,70,140,170,170,140,30,30,40,480,50,90,50
"diseñadores web barcelona",1,110,33,"Spain","",10,19,36,"HOMEPAGES","","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,20,40,40,20,30,30,20,20,40,70,10,40,20,20,30,10,20,30,10,10,20,10,40,30,10,20,20,20,20,50,30,40,20,50,50,70,50,40,50,70,50,50,50,90,50,90,50,40,50,70,140,170,170,140,30,30,40,480,50,90,50
"diseño de paginas web barcelona",1,140,42,"Spain","",3,36,-48,"HOMEPAGES","","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,10,10,10,30,20,40,20,30,30,30,20,20,20,20,30,20,20,20,20,20,20,40,10,30,30,10,30,20,30,30,20,20,50,20,10,20,30,40,90,70,50,70,90,140,110,90,110,90,110,140,90,90,90,70,90,90,110,260,320,260,170,40,40,50,480,90,20,20
"diseño de páginas web barcelona",1,140,42,"Spain","",3,39,-48,"HOMEPAGES","","Missing words in title","","","","","30","10","10","30","20","20","20","20",10,10,30,40,,,,,,,,,"","","","","","","","","","","","","","","","","","30","50","10","70",170,170,210,140,140,210,210,140,30,20,90,70,20,30,30,20,40,40,20,30,50,30,50,40,50,30,40,70,40,30,30,70,40,40,30,30,40,40,70,30,30,40,30,40,50,50,30,30,50,70,40,20,50,70,50,140,110,90,,,,,,110,90,110,140,90,90,90,70,90,90,110,260,320,260,170,40,40,50,480,90,20,20
"diseño de tiendas online barcelona",1,170,51,"Spain","",,12,86,"","","Missing words in title","","","","","","","","","","","","",,,0,0,0,0,0,10,30,10,10,10,"10","10","10","0","0","0","0","10","10","10","10","0","0","10","10","10","0","10","0","10","10",10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,70,140,0,10,10,40,10,10,30,10,10,10,10,30,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,50,30,30,10,20,30,40,70,30,20,10,20,20,20,10,20,10,10,20,40,40,320,320,320,140,10,20,30,720,30,70,30
"diseño pagina web barcelona",1,320,97,"Spain","19.60",12,27,-41,"HOMEPAGES","","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,260,210,210,110,140,210,140,140,140,110,210,110,110,90,140,140,110,140,70,90,90,90,170,110,260,140,210,110,140,170,110,110,260,170,260,260,260,210,170,170,210,210,170,210,210,480,590,590,390,390,210,90,1000,170,110,70
"diseño paginas web barcelona",1,320,97,"Spain","19.60",12,33,-41,"HOMEPAGES","","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,110,90,210,170,260,260,260,210,170,170,210,210,170,210,210,480,590,590,390,390,210,90,1000,170,110,70
"diseño página web barcelona",1,140,42,"Spain","",1,33,-15,"HOMEPAGES","","Missing words in title","Map Pack","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,40,40,90,30,30,40,40,70,40,50,40,10,40,40,90,90,90,90,70,50,30,40,40,30,30,20,20,50,40,20,50,20,20,20,30,30,20,70,40,50,50,70,90,90,50,40,70,70,70,50,50,40,50,40,40,50,50,210,210,260,170,20,30,20,390,30,30,50
"diseño páginas web barcelona",1,140,42,"Spain","",1,14,-15,"HOMEPAGES","","Missing words in title","Map Pack","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,30,20,70,40,50,50,70,90,90,50,40,70,70,70,50,50,40,50,40,40,50,50,210,210,260,170,20,30,20,390,30,30,50
"diseño tienda online barcelona",1,170,51,"Spain","",3,13,-26,"","","Missing words in title","Map Pack","","","","","10","10","10","20","40","40","70",50,20,10,20,10,10,70,50,50,30,40,70,"70","90","90","50","20","30","70","50","40","10","30","30","50","40","70","50","70","50","40","40","140",390,210,50,90,140,110,70,20,50,50,40,50,20,50,110,170,260,70,90,70,70,30,40,50,50,20,30,50,50,30,40,70,30,40,20,70,70,50,70,90,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,90,110,70,140,260,320,260,170,70,30,50,590,70,90,40
"diseño tiendas online barcelona",1,140,42,"Spain","",,12,45,"","","","Map Pack","","","","","40","50","90","50","20","70","70",70,40,50,40,70,40,70,50,50,30,40,70,"70","90","90","50","20","","","","","","","","50","40","70","50","70","50","40","40","140",390,210,50,90,140,110,70,20,50,50,40,50,20,50,110,170,260,10,20,10,20,10,10,10,20,10,10,20,10,10,20,10,10,10,10,10,30,20,40,20,20,30,20,20,40,30,20,30,10,20,50,50,30,50,30,40,20,20,50,30,50,40,10,40,50,40,50,50,10,70,40,20,50,30,170,210,210,170,110,50,40,480,50,70,40
"diseño web a medida",1,720,218,"Spain","6.40",5,18,44,"","","Missing words in title","People Also Ask","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,210,210,170,260,320,320,260,210,210,210,210,320,170,140,170,170,110,140,110,140,210,170,110,140,70,140,140,170,140,140,140,140,140,210,260,210,260,140,170,320,210,260,390,260,320,210,260,170,210,260,880,1000,1000,590,260,170,260,2400,390,320,210
"diseño web a medida barcelona",1,140,42,"Spain","",5,18,36,"HOMEPAGES","","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,10,,10,,10,,10,40,20,10,10,0,10,10,10,10,0,10,0,10,10,10,10,10,10,10,10,10,10,50,40,40,40,30,50,10,20,10,10,20,20,10,10,10,10,70,30,70,90,70,20,40,30,70,70,40,40,50,70,40,70,40,30,50,40,30,40,40,70,210,210,210,140,70,70,30,390,70,50,30
"diseño web barcelona",1,2900,881,"Spain","4.86",18,33,0,"HOMEPAGES","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,2400,2900,5400,5400,4400,4400,5400,5400,8100,5400,9900,8100,2400,1900,1900,2900,2400,2400,2400,1900,1900,2900,2400,1900,1900,1900,1900,2400,2400,2900,1900,1900,1600,2400,1900,2900,2400,2400,2900,2400,2400,2900,1900,1900,1600,1900,2400,1900,2400,2900,3600,3600,3600,2400,1300,1600,1600,6600,2900,1900,1900
"diseño web en barcelona",1,2900,881,"Spain","4.86",18,19,0,"HOMEPAGES","","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,2400,2900,5400,5400,4400,4400,5400,5400,8100,5400,9900,8100,2400,1900,1900,2900,2400,2400,2400,1900,1900,2900,2400,1900,1900,1900,1900,2400,2400,2900,1900,1900,1600,2400,1900,2900,2400,2400,2900,2400,2400,2900,1900,1900,1600,1900,2400,1900,2400,2900,3600,3600,3600,2400,1300,1600,1600,6600,2900,1900,1900
"diseño web wordpress barcelona",1,480,145,"Spain","9.59",5,9,115,"HOMEPAGES","commercial, transactional","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,140,210,170,110,90,110,140,70,90,90,50,90,110,90,90,140,90,140,140,90,90,140,90,70,90,170,480,260,110,140,110,110,140,140,140,170,110,140,140,90,110,90,110,140,110,210,260,480,590,480,390,320,590,390,1300,390,390,210
"diseños web a medida",1,720,218,"Spain","6.40",5,,44,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,320,210,260,170,210,260,880,1000,1000,590,260,170,260,2400,390,320,210
"disseny de pagines web",1,110,33,"Spain","8.83",41,,,"","","","","","","","","10","30","10","10","10","10","30",20,20,10,70,50,50,50,10,10,10,10,20,"20","10","10","10","10","10","10","10","20","10","10","10","20","10","10","10","10","10","10","10","10",10,10,10,20,10,20,20,10,10,10,20,20,10,10,20,10,30,10,30,10,20,10,10,20,20,20,10,30,20,30,20,10,30,10,10,20,10,30,30,30,10,10,20,20,20,10,10,10,20,10,10,10,30,20,10,20,40,40,40,70,40,30,40,,,,,,,,,,,50,140,260,210,90,50,40,50,260,30,10,10
"disseny de pàgines web",1,110,33,"Spain","8.83",41,18,-76,"HOMEPAGES","commercial, transactional","Missing words in title","People Also Ask","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","10","10","20","10","10","10",10,10,10,10,0,10,10,10,10,,10,10,10,10,10,10,30,10,30,10,20,10,10,20,20,20,10,30,20,30,20,10,30,10,10,20,10,30,30,30,10,10,20,20,20,10,10,10,20,10,10,10,30,20,10,20,40,40,40,70,40,30,40,,,,,,,,,,70,50,140,260,210,90,50,40,50,260,30,10,10
"disseny pagina web",1,110,33,"Spain","",5,,,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,10,10,40,20,10,10,10,10,10,30,40,10,20,10,20,10,30,10,40,20,10,10,20,10,10,20,10,10,10,10,20,20,10,10,10,10,20,20,20,10,10,30,40,10,10,10,20,10,,,,,,,,,,,20,140,170,170,90,30,50,40,390,40,50,40
"empresa de diseño web barcelona",1,170,51,"Spain","",,39,-67,"HOMEPAGES","","Missing words in title","","","","","","30","20","30","10","20","30","40",10,10,30,20,30,30,50,50,30,40,10,20,"30","10","30","50","20","10","30","70","50","20","10","10","10","10","10","40","390","320","210","20","10",10,10,40,30,30,20,20,20,10,10,20,10,20,10,10,30,10,10,10,10,10,10,10,10,10,10,30,30,10,10,20,20,20,30,20,10,20,20,20,20,20,30,20,10,20,10,10,10,10,10,10,20,10,10,70,70,40,50,70,70,70,90,50,70,70,70,70,90,90,90,90,70,110,140,320,260,260,140,50,30,10,590,70,10,10
"empresa diseño web barcelona",1,260,79,"Spain","",7,21,-67,"HOMEPAGES","","Missing words in title","Map Pack","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,10,20,20,20,10,50,30,30,30,20,50,50,70,70,30,40,20,110,40,50,30,20,30,20,40,30,50,70,30,30,50,50,90,110,140,90,170,140,140,110,140,90,140,110,170,170,170,170,170,170,170,210,170,480,390,390,210,70,70,50,880,110,50,20
"empresas diseño web barcelona",1,260,79,"Spain","",7,29,-67,"HOMEPAGES","","Missing words in title","Map Pack","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,20,10,10,10,10,10,10,30,30,20,50,50,70,70,30,40,20,110,40,50,30,20,30,20,40,30,50,70,30,30,50,50,90,110,140,90,170,140,140,110,140,90,140,110,170,170,170,170,170,170,170,210,170,480,390,390,210,70,70,50,880,110,50,20
"empresas que crean páginas web",1,110,33,"Spain","10.74",37,,-30,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,140,110,90,110,70,70,110,70,90,110,140,110,210,170,140,110,70,40,260,90,50,50
"estudio diseño web barcelona",1,140,42,"Spain","",18,16,,"HOMEPAGES","","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","30","10","10","40","10","30","30","10","40","40","50","20","20","10","20","20","20","20","30",10,,,20,20,20,10,20,10,30,20,50,10,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0,0,10,0,10,10,10,10,,,,,,,,,,,50,260,260,260,110,10,10,10,590,20,10,10
"estudios diseño web barcelona",1,140,42,"Spain","",18,23,,"HOMEPAGES","","Missing words in title","Featured Snippet","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,10,10,10,10,10,10,10,40,10,10,10,30,10,20,30,10,10,10,10,10,10,10,10,10,10,10,10,20,10,10,30,20,10,10,10,0,10,10,20,10,10,40,40,20,40,40,30,30,30,20,,,,,,,,,,,50,260,260,260,110,10,10,10,590,20,10,10
"google office barcelona",1,140,42,"Spain","",0,,-2,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,110,110,90,170,140,210,210,140,170,170,110,,140,140,170,170,170,140,140,140,140,210,90,110
"la teva web",1,590,136,"Spain","0.50",12,26,0,"HOMEPAGES","","Missing words in title","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,390,260,480,480,480,390,720,720,590,590,590,590,720,390,720,720,590,480,590,880,720,590,720,480,590,390,720,720,590,480
"latevaweb",1,320,97,"Spain","0.36",20,,13,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,260,210,260,320,320,260,390,390,320,320,320,260,320,170,390,390,260,210,260,260,320,210,390,260,320,170,390,390,320,260
"mantenimiento web barcelona",1,110,33,"Spain","6.00",9,20,14,"","","","","","","","","","","","","","","",,,,,,,,,,,,,"","","","","","","","","","","","","","","","","","","","","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,40,140,90,10,10,30,40,20,20,30,20,50,40,20,40,30,40,20,10,20,40,70,70,90,110,70,70,140,70,90,70,70,70,70,70,50,90,70,70,70,210,260,90,50,50,210,30,140,70
"pagina web a medida",1,260,79,"Spain","14.03",10,17,44,"","","Missing words in title","","10","20","10","20","10","30","20","10","10","30","30",20,,,,,,50,70,30,70,30,30,"50","20","50","30","20","20","","","","","","","","","","","","","","","",,,210,320,260,260,260,260,170,170,260,260,70,90,90,70,110,110,90,140,260,260,260,210,210,260,210,170,170,210,90,110,90,70,110,140,90,70,70,140,50,50,50,50,90,70,40,50,40,50,50,70,50,70,70,70,70,90,90,110,70,90,110,110,90,90,90,70,70,90,90,70,110,110,390,480,480,320,110,70,90,720,170,110,110
